gene
ACVR1B
ACVR2A
AJUBA
AKT1
ALB
APC
APOB
ARHGAP35
ARID1A
ARID2
ATM
ATRX
AXIN1
B2M
BAP1
BAX
BCOR
BRAF
BRD7
BRPF1
BTG1
CAMK1
CARD11
CASP8
CBFB
CCND3
CDH1
CDK12
CDKN1A
CDKN1B
CDKN2A
CIC
CREBBP
CTC-512J12.6
CTCF
CTDNEP1
CTNNB1
DAXX
DDX3X
DNMT3A
DYNC1I1
DYRK1A
EBF1
EEF1A1
EGFR
ELF3
EPHA2
EZH2
FAT1
FBXO11
FBXW7
FGFR1
FGFR3
FOXA1
FUBP1
GATA3
GNA13
GNAI2
GNAS
GRB2
H3F3A
H3F3B
HIST1H1B
HIST1H1C
HIST1H2AG
HIST1H2BC
HIST1H4D
HLA-A
HLA-B
HNF4A
HRAS
IDH1
IDH2
IRF4
ITPKB
KBTBD4
KDM5C
KDM6A
KEAP1
KLHL6
KMT2C
KMT2D
KRAS
LATS1
LDB1
MAP2K4
MAP2K7
MAP3K1
MCL1
MEF2B
MEN1
MTOR
MYD88
NCOR1
NF1
NFE2L2
NFKBIE
NOTCH1
NOTCH2
NRAS
NXF1
PA2G4
PAX5
PBRM1
PCBP1
PHF6
PIK3CA
PIK3R1
PLK1
PPP2R1A
PRKAR1A
PRKCD
PTCH1
PTEN
PTPN11
RAC1
RB1
RBM10
RELA
RFTN1
RHOA
RIPK4
RNF43
RPL22
RPL5
RPS6KA3
RRAGC
SETD2
SETDB1
SF3B1
SMAD2
SMAD4
SMARCA4
SMARCB1
SMO
SOX9
SPOP
SRSF7
STAT3
STAT6
STK11
TBL1XR1
TBR1
TBX3
TCF4
TCF7L2
TET2
TGFBR2
TMEM30A
TMSB4X
TNFRSF14
TP53
TSC1
U2AF1
VHL
ZFP36L2
ZNF292
